name_zh,name_en,address,star_rating,opening_date,description
张家界武陵源绿地酒店,Greenland Hotel Zhangjiajie Wulingyuan,张家界市武陵源区核心景区附近,5,2022-09,国家森林公园旁，适合观赏天门山与玻璃桥的度假酒店。
天津意风区威斯汀酒店,The Westin Tianjin,天津市河西区解放北路,5,2010-05,欧式建筑风格，位于历史风貌建筑区。
苏州金鸡湖凯宾斯基酒店,Kempinski Hotel Suzhou,苏州市工业园区金鸡湖大道,5,2005-11,金鸡湖畔经典五星，园林景观与会议设施出色。
无锡太湖鼋头渚希尔顿酒店,Hilton Wuxi Yuantouzhu,无锡市滨湖区鼋头渚景区附近,5,2017-07,太湖最佳观景点之一，樱花季与梅园景观优美。
宁波东钱湖华侨豪生酒店,Howard Johnson Ningbo Dongqian Lake,宁波市鄞州区东钱湖旅游度假区,5,2015-03,湖景度假酒店，适合家庭出游与会议。
济南趵突泉香格里拉酒店,Shangri-La Hotel Jinan,济南市历下区趵突泉景区附近,5,2019-10,泉城核心地段，融合泉水文化的高端酒店。
郑州郑东新区万怡酒店,Courtyard by Marriott Zhengzhou East,郑州市郑东新区CBD,4,2020-06,新区商务便利型酒店，交通发达。
长沙梅溪湖金茂豪华精选酒店,The Luxury Collection Changsha Meixi Lake,长沙市岳麓区梅溪湖片区,5,2021-12,湖景高端酒店，艺术氛围浓厚。
合肥滨湖银泰皇冠假日酒店,Crowne Plaza Hefei Binhu,合肥市滨湖新区银泰中心,5,2018-04,滨湖新区地标，会议与购物一体。
福州三坊七巷洲际酒店,InterContinental Fuzhou Sanfang Qixiang,福州市鼓楼区三坊七巷附近,5,2019-09,古厝风情与现代服务结合的文化酒店。
南昌滕王阁万达文华酒店,Wanda Vista Nanchang Tengwang Pavilion,南昌市东湖区赣江新区,5,2020-11,赣江江景，适合商务与观光。
昆明翠湖洲际度假酒店,InterContinental Kunming Resort,昆明市五华区翠湖公园旁,5,2017-05,翠湖畔度假式酒店，园林景观优美。
贵阳花果园亚朵S酒店,Atour S Hotel Guiyang Huaguoyuan,贵阳市南明区花果园片区,4,2022-02,年轻化设计酒店，交通便利。
兰州黄河风情线希尔顿欢朋,Hilton Garden Inn Lanzhou Yellow River,兰州市城关区黄河风情线,4,2021-08,黄河景观酒店，性价比高。
银川阅海万家万豪酒店,Marriott Hotel Yinchuan Yuehai,银川市金凤区阅海湾,5,2019-03,湖畔高端酒店，会议设施齐全。
西宁海湖新区假日酒店,Holiday Inn Xining Haihu New Area,西宁市城西区海湖新区,4,2020-10,新区商务型酒店，交通便利。
乌鲁木齐国际大巴扎希尔顿酒店,Hilton Urumqi International Bazaar,乌鲁木齐市天山区二道桥大巴扎,5,2018-07,民族风情浓厚，适合体验新疆文化。
拉萨饭店,Lhasa Hotel,拉萨市城关区江苏路1号,5,1989-10,拉萨经典五星酒店，高原适应性强。
哈尔滨中央大街索菲特酒店,Sofitel Harbin,哈尔滨市道里区中央大街,5,2017-12,俄式建筑风格，冰雪节最佳观赏点。
长春净月潭万达文华酒店,Wanda Vista Changchun Jingyuetan,长春市净月高新区,5,2020-05,森林公园旁度假酒店。
沈阳故宫万豪酒店,Marriott Hotel Shenyang Imperial Palace,沈阳市沈河区故宫附近,5,2019-06,历史文化区高端酒店。
大连星海湾凯宾斯基酒店,Kempinski Hotel Dalian,大连市沙河口区星海湾,5,2004-08,海滨经典五星，会议与度假兼顾。
烟台金沙滩希尔顿酒店,Hilton Yantai Golden Beach,烟台市开发区金沙滩,5,2016-09,黄金海岸度假酒店。
济南泉城路全季酒店,Ji Hotel Jinan Quancheng Road,济南市历下区泉城路,4,2018-11,市中心性价比酒店。
青岛奥帆中心洲际酒店,InterContinental Qingdao Olympic Sailing Center,青岛市市南区奥帆中心,5,2008-07,奥运遗产酒店，海景优美。
杭州西溪湿地悦榕庄,Banyan Tree Hangzhou Xixi,杭州市西湖区西溪湿地,5,2010-03,湿地生态高端度假村。
上海迪士尼乐园玩具总动员酒店,Toy Story Hotel Shanghai Disney Resort,上海市浦东新区川沙新镇迪士尼度假区,4,2021-06,亲子主题酒店，迪士尼官方合作。
北京大兴国际机场希尔顿酒店,Hilton Beijing Daxing Airport,北京市大兴区大兴国际机场,5,2019-09,机场配套高端酒店，交通极便利。
深圳前海华尔道夫酒店,Waldorf Astoria Shenzhen Qianhai,深圳市南山区前海深港合作区,5,2023-05,粤港澳大湾区新兴地标酒店。
广州长隆熊猫酒店,Chimelong Panda Hotel Guangzhou,广州市番禺区长隆旅游度假区,5,2018-04,熊猫主题亲子度假酒店。
珠海横琴万豪酒店,Marriott Hotel Zhuhai Hengqin,珠海市横琴新区,5,2020-08,横琴自贸区高端商务酒店。
澳门巴黎人酒店,The Parisian Macao,中国澳门路氹城填海区,5,2016-09,法式主题综合度假村（境内适用）。
武汉长江江滩万豪行政公寓,Marriott Executive Apartments Wuhan,武汉市江汉区长江江滩,5,2021-03,江景长住型公寓酒店。
成都环球中心天堂洲际酒店,InterContinental Chengdu Global Center,成都市武侯区天府大道中段,5,2013-07,超大型综合体内的江景五星酒店。
西安曲江池大唐芙蓉园阿丽拉酒店,Alila Xi'an Qujiang,西安市曲江新区大唐芙蓉园,5,2022-10,唐风设计的高端文化酒店。
重庆洪崖洞费尔蒙酒店,Fairmont Chongqing Hongyadong,重庆市渝中区解放碑洪崖洞,5,2023-02,魔幻8D城市核心江景酒店。
南京夫子庙金陵饭店,Jinling Hotel Nanjing,南京市玄武区汉中路2号,5,1983-10,南京标志性老牌五星酒店。
苏州观前街W酒店,W Suzhou,苏州市姑苏区观前街附近,5,2019-11,潮流设计感强的城市时尚酒店。
黄山汤口悦榕庄,Banyan Tree Huangshan,黄山市汤口镇黄山风景区南大门,5,2015-06,黄山脚下顶级温泉度假酒店。
九寨沟喜来登酒店,Sheraton Jiuzhaigou Resort,阿坝州九寨沟县漳扎镇,5,2017-08,九寨沟景区内高端度假酒店。
张家界国家森林公园绿地酒店,Greenland Hotel Zhangjiajie National Forest Park,张家界市武陵源区森林公园内,5,2021-09,国家公园内生态度假酒店。
桂林阳朔Alila度假酒店,Alila Yangshuo Guilin,桂林市阳朔县遇龙河畔,5,2017-03,糖厂改造的工业风高端度假村。
北海银滩香格里拉酒店,Shangri-La Hotel Beihai Silver Beach,北海市银海区银滩中路,5,2016-12,北部湾优质沙滩度假酒店。
敦煌月牙泉悦榕庄,Banyan Tree Dunhuang,敦煌市月牙泉景区附近,5,2018-10,沙漠绿洲顶级度假酒店。
丽江束河古镇安缦酒店,Amanfayun Lijiang,丽江市束河古镇,5,2015-04,极致隐奢古镇度假体验。
大理洱海玫瑰庄园希尔顿酒店,Hilton Dali Resort & Spa,大理市洱海东岸玫瑰庄园,5,2016-07,洱海湖景高端度假酒店。
腾冲和顺古镇悦榕庄,Banyan Tree Tengchong,保山市腾冲市和顺古镇,5,2014-11,火山温泉与侨乡文化结合的奢华度假村。
西双版纳野象谷安纳塔拉酒店,Anantara Xishuangbanna Resort,西双版纳傣族自治州野象谷景区,5,2013-06,热带雨林高端度假酒店。
香格里拉松赞林卡酒店,Songtsam Linka Shangri-La,迪庆藏族自治州香格里拉市,5,2012-09,藏式高端人文度假酒店。
舟山普陀山普济大酒店,Putuo Mountain Puji Hotel,舟山市普陀区普陀山风景区,5,2010-05,佛教圣地核心五星酒店。
千岛湖洲际度假酒店,InterContinental Thousand Island Lake Resort,杭州市淳安县千岛湖镇,5,2016-08,湖景顶级度假酒店，水上活动丰富。
莫干山裸心谷,Naked Retreats Moganshan,湖州市德清县莫干山镇,5,2011-07,高端生态隐居式度假村。
安吉帐篷客Alila,Alila Wuzhen Anji Tent Hotel,湖州市安吉县天荒坪镇,5,2020-04,帐篷+现代设计的奢华野奢酒店。
乌镇雅园度假酒店,Yayuan Resort Wuzhen,嘉兴市桐乡市乌镇景区,5,2019-05,水乡顶级度假体验酒店。
上海外滩半岛酒店,The Peninsula Shanghai,上海市黄浦区中山东一路32号,5,2009-10,外滩顶级奢华酒店，英式优雅风格。
北京颐和安缦,Aman Summer Palace Beijing,北京市海淀区颐和园东宫门附近,5,2008-04,皇家园林旁的极致隐奢酒店。
三亚海棠湾丽思卡尔顿酒店,The Ritz-Carlton Sanya Yalong Bay,三亚市海棠湾国家海岸,5,2013-11,海棠湾顶级海滨度假酒店。
厦门鼓浪屿海景酒店,Seaview Hotel Gulangyu Xiamen,厦门市思明区鼓浪屿海滨路,5,2018-06,岛上海洋风情高端酒店。
青岛五四广场香格里拉大酒店,Shangri-La Hotel Qingdao Wusi Square,青岛市市南区香港中路,5,2004-09,五四广场经典海景五星。
济南奥体中心万达嘉华酒店,Wanda Realm Jinan Olympic Center,济南市历下区奥体中路,5,2019-07,奥体商圈高端商务酒店。
郑州黄河风景线希尔顿酒店,Hilton Zhengzhou Yellow River,郑州市惠济区黄河风景线,5,2021-10,黄河景观高端酒店。
武汉东湖绿地中心铂尔曼酒店,Pullman Wuhan Optics Valley,武汉市洪山区光谷中心城,5,2018-03,光谷地标级商务酒店。
长沙IFS国金中心W酒店,W Changsha IFS,长沙市开福区IFS国金中心,5,2020-12,潮流时尚高端城市酒店。
南宁万象城万豪行政公寓,Marriott Executive Apartments Nanning MixC,南宁市青秀区万象城,5,2022-01,购物中心上盖长住型公寓。
贵阳贵安新区希尔顿欢朋酒店,Hilton Garden Inn Guiyang Guian,贵阳市贵安新区,4,2021-06,新区性价比商务酒店。
昆明滇池大酒店,Grand Park Hotel Kunming Dianchi,昆明市西山区滇池路,5,2015-09,滇池湖畔度假型酒店。
拉萨布达拉宫大酒店,Potala Palace Hotel Lhasa,拉萨市城关区江苏路,5,2020-08,布达拉宫视野内高端酒店。
